YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,"GENERATION
(Megawatthours)"
2022,1,AK,Total Electric Power Industry,Total,584412
2022,1,AK,Total Electric Power Industry,Coal,75088
2022,1,AK,Total Electric Power Industry,Hydroelectric Conventional,198901
2022,1,AK,Total Electric Power Industry,Natural Gas,214245
2022,1,AK,Total Electric Power Industry,Other,-104
2022,1,AK,Total Electric Power Industry,Petroleum,79085
2022,1,AK,Total Electric Power Industry,Other Biomass,3657
2022,1,AK,Total Electric Power Industry,Wind,13540
2022,1,AK,Total Electric Power Industry,Wood and Wood Derived Fuels,0
2022,1,AK,"Combined Heat and Power, Industrial Power",Total,9962
2022,1,AK,"Combined Heat and Power, Industrial Power",Natural Gas,5986
2022,1,AK,"Combined Heat and Power, Industrial Power",Petroleum,3961
2022,1,AK,"Combined Heat and Power, Industrial Power",Other Biomass,15
2022,1,AK,"Combined Heat and Power, Commercial Power",Total,31523
2022,1,AK,"Combined Heat and Power, Commercial Power",Coal,9454
2022,1,AK,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,18836
2022,1,AK,"Combined Heat and Power, Commercial Power",Natural Gas,-6
2022,1,AK,"Combined Heat and Power, Commercial Power",Petroleum,-404
2022,1,AK,"Combined Heat and Power, Commercial Power",Other Biomass,3642
2022,1,AK,"Combined Heat and Power, Commercial Power",Wood and Wood Derived Fuels,0
2022,1,AK,"Combined Heat and Power, Electric Power",Total,13635
2022,1,AK,"Combined Heat and Power, Electric Power",Coal,13635
2022,1,AK,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,AK,"Combined Heat and Power, Electric Power",Other Biomass,0
2022,1,AK,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2022,1,AK,"Electric Generators, Independent Power Producers",Total,5452
2022,1,AK,"Electric Generators, Independent Power Producers",Petroleum,199
2022,1,AK,"Electric Generators, Independent Power Producers",Wind,5254
2022,1,AK,"Electric Generators, Electric Utilities",Total,523840
2022,1,AK,"Electric Generators, Electric Utilities",Coal,51999
2022,1,AK,"Electric Generators, Electric Utilities",Hydroelectric Conventional,180065
2022,1,AK,"Electric Generators, Electric Utilities",Natural Gas,208264
2022,1,AK,"Electric Generators, Electric Utilities",Other,-104
2022,1,AK,"Electric Generators, Electric Utilities",Petroleum,75329
2022,1,AK,"Electric Generators, Electric Utilities",Wind,8286
2022,1,AL,Total Electric Power Industry,Total,12999575
2022,1,AL,Total Electric Power Industry,Coal,2401647
2022,1,AL,Total Electric Power Industry,Hydroelectric Conventional,1206751
2022,1,AL,Total Electric Power Industry,Natural Gas,5342831
2022,1,AL,Total Electric Power Industry,Nuclear,3750315
2022,1,AL,Total Electric Power Industry,Other Gases,21
2022,1,AL,Total Electric Power Industry,Other,0
2022,1,AL,Total Electric Power Industry,Petroleum,2370
2022,1,AL,Total Electric Power Industry,Solar Thermal and Photovoltaic,51960
2022,1,AL,Total Electric Power Industry,Other Biomass,3083
2022,1,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,240597
2022,1,AL,"Combined Heat and Power, Industrial Power",Total,377450
2022,1,AL,"Combined Heat and Power, Industrial Power",Coal,2889
2022,1,AL,"Combined Heat and Power, Industrial Power",Natural Gas,132577
2022,1,AL,"Combined Heat and Power, Industrial Power",Other Gases,21
2022,1,AL,"Combined Heat and Power, Industrial Power",Other,0
2022,1,AL,"Combined Heat and Power, Industrial Power",Petroleum,1367
2022,1,AL,"Combined Heat and Power, Industrial Power",Other Biomass,0
2022,1,AL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,240597
2022,1,AL,"Combined Heat and Power, Electric Power",Total,468414
2022,1,AL,"Combined Heat and Power, Electric Power",Natural Gas,468414
2022,1,AL,"Electric Generators, Independent Power Producers",Total,2858647
2022,1,AL,"Electric Generators, Independent Power Producers",Natural Gas,2804411
2022,1,AL,"Electric Generators, Independent Power Producers",Other,0
2022,1,AL,"Electric Generators, Independent Power Producers",Petroleum,856
2022,1,AL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,50298
2022,1,AL,"Electric Generators, Independent Power Producers",Other Biomass,3083
2022,1,AL,"Electric Generators, Electric Utilities",Total,9295063
2022,1,AL,"Electric Generators, Electric Utilities",Coal,2398759
2022,1,AL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1206751
2022,1,AL,"Electric Generators, Electric Utilities",Natural Gas,1937429
2022,1,AL,"Electric Generators, Electric Utilities",Nuclear,3750315
2022,1,AL,"Electric Generators, Electric Utilities",Petroleum,147
2022,1,AL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,1663
2022,1,AR,Total Electric Power Industry,Total,6339674
2022,1,AR,Total Electric Power Industry,Coal,2314138
2022,1,AR,Total Electric Power Industry,Pumped Storage,858
2022,1,AR,Total Electric Power Industry,Hydroelectric Conventional,364582
2022,1,AR,Total Electric Power Industry,Natural Gas,2130651
2022,1,AR,Total Electric Power Industry,Nuclear,1389063
2022,1,AR,Total Electric Power Industry,Other,824
2022,1,AR,Total Electric Power Industry,Petroleum,7805
2022,1,AR,Total Electric Power Industry,Solar Thermal and Photovoltaic,46093
2022,1,AR,Total Electric Power Industry,Other Biomass,8264
2022,1,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,77397
2022,1,AR,"Combined Heat and Power, Industrial Power",Total,110240
2022,1,AR,"Combined Heat and Power, Industrial Power",Coal,3827
2022,1,AR,"Combined Heat and Power, Industrial Power",Natural Gas,27905
2022,1,AR,"Combined Heat and Power, Industrial Power",Other,842
2022,1,AR,"Combined Heat and Power, Industrial Power",Petroleum,5
2022,1,AR,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,264
2022,1,AR,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,77397
2022,1,AR,"Combined Heat and Power, Commercial Power",Total,5321
2022,1,AR,"Combined Heat and Power, Commercial Power",Natural Gas,3698
2022,1,AR,"Combined Heat and Power, Commercial Power",Other,-18
2022,1,AR,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1233
2022,1,AR,"Combined Heat and Power, Commercial Power",Other Biomass,408
2022,1,AR,"Combined Heat and Power, Electric Power",Total,129738
2022,1,AR,"Combined Heat and Power, Electric Power",Natural Gas,127116
2022,1,AR,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,AR,"Combined Heat and Power, Electric Power",Other Biomass,2622
2022,1,AR,"Electric Generators, Independent Power Producers",Total,499336
2022,1,AR,"Electric Generators, Independent Power Producers",Coal,444941
2022,1,AR,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,4063
2022,1,AR,"Electric Generators, Independent Power Producers",Other,0
2022,1,AR,"Electric Generators, Independent Power Producers",Petroleum,1255
2022,1,AR,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,43843
2022,1,AR,"Electric Generators, Independent Power Producers",Other Biomass,5234
2022,1,AR,"Electric Generators, Electric Utilities",Total,5595039
2022,1,AR,"Electric Generators, Electric Utilities",Coal,1865370
2022,1,AR,"Electric Generators, Electric Utilities",Pumped Storage,858
2022,1,AR,"Electric Generators, Electric Utilities",Hydroelectric Conventional,360519
2022,1,AR,"Electric Generators, Electric Utilities",Natural Gas,1971932
2022,1,AR,"Electric Generators, Electric Utilities",Nuclear,1389063
2022,1,AR,"Electric Generators, Electric Utilities",Petroleum,6544
2022,1,AR,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,753
2022,1,AZ,Total Electric Power Industry,Total,7739230
2022,1,AZ,Total Electric Power Industry,Coal,1234835
2022,1,AZ,Total Electric Power Industry,Pumped Storage,-12097
2022,1,AZ,Total Electric Power Industry,Hydroelectric Conventional,549514
2022,1,AZ,Total Electric Power Industry,Natural Gas,2694690
2022,1,AZ,Total Electric Power Industry,Nuclear,2738935
2022,1,AZ,Total Electric Power Industry,Other,-634
2022,1,AZ,Total Electric Power Industry,Petroleum,2409
2022,1,AZ,Total Electric Power Industry,Solar Thermal and Photovoltaic,409024
2022,1,AZ,Total Electric Power Industry,Other Biomass,1774
2022,1,AZ,Total Electric Power Industry,Wind,106278
2022,1,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,14502
2022,1,AZ,"Combined Heat and Power, Commercial Power",Total,12694
2022,1,AZ,"Combined Heat and Power, Commercial Power",Natural Gas,11406
2022,1,AZ,"Combined Heat and Power, Commercial Power",Petroleum,1
2022,1,AZ,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1288
2022,1,AZ,"Combined Heat and Power, Electric Power",Total,0
2022,1,AZ,"Combined Heat and Power, Electric Power",Natural Gas,0
2022,1,AZ,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,AZ,"Electric Generators, Independent Power Producers",Total,1305690
2022,1,AZ,"Electric Generators, Independent Power Producers",Natural Gas,815063
2022,1,AZ,"Electric Generators, Independent Power Producers",Other,-461
2022,1,AZ,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,368534
2022,1,AZ,"Electric Generators, Independent Power Producers",Other Biomass,1774
2022,1,AZ,"Electric Generators, Independent Power Producers",Wind,106278
2022,1,AZ,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,14502
2022,1,AZ,"Electric Generators, Electric Utilities",Total,6420846
2022,1,AZ,"Electric Generators, Electric Utilities",Coal,1234835
2022,1,AZ,"Electric Generators, Electric Utilities",Pumped Storage,-12097
2022,1,AZ,"Electric Generators, Electric Utilities",Hydroelectric Conventional,549514
2022,1,AZ,"Electric Generators, Electric Utilities",Natural Gas,1868222
2022,1,AZ,"Electric Generators, Electric Utilities",Nuclear,2738935
2022,1,AZ,"Electric Generators, Electric Utilities",Other,-173
2022,1,AZ,"Electric Generators, Electric Utilities",Petroleum,2409
2022,1,AZ,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,39202
2022,1,AZ,"Electric Generators, Electric Utilities",Other Biomass,0
2022,1,CA,Total Electric Power Industry,Total,14641676
2022,1,CA,Total Electric Power Industry,Coal,20157
2022,1,CA,Total Electric Power Industry,Geothermal,1048443
2022,1,CA,Total Electric Power Industry,Pumped Storage,-64301
2022,1,CA,Total Electric Power Industry,Hydroelectric Conventional,999589
2022,1,CA,Total Electric Power Industry,Natural Gas,7089046
2022,1,CA,Total Electric Power Industry,Nuclear,1656360
2022,1,CA,Total Electric Power Industry,Other Gases,114543
2022,1,CA,Total Electric Power Industry,Other,50151
2022,1,CA,Total Electric Power Industry,Petroleum,4269
2022,1,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,2071044
2022,1,CA,Total Electric Power Industry,Other Biomass,213615
2022,1,CA,Total Electric Power Industry,Wind,1186674
2022,1,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,252086
2022,1,CA,"Combined Heat and Power, Industrial Power",Total,1047532
2022,1,CA,"Combined Heat and Power, Industrial Power",Coal,20157
2022,1,CA,"Combined Heat and Power, Industrial Power",Natural Gas,794062
2022,1,CA,"Combined Heat and Power, Industrial Power",Other Gases,114543
2022,1,CA,"Combined Heat and Power, Industrial Power",Other,46489
2022,1,CA,"Combined Heat and Power, Industrial Power",Petroleum,405
2022,1,CA,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,9112
2022,1,CA,"Combined Heat and Power, Industrial Power",Other Biomass,0
2022,1,CA,"Combined Heat and Power, Industrial Power",Wind,155
2022,1,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,62609
2022,1,CA,"Combined Heat and Power, Commercial Power",Total,203704
2022,1,CA,"Combined Heat and Power, Commercial Power",Pumped Storage,0
2022,1,CA,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,138
2022,1,CA,"Combined Heat and Power, Commercial Power",Natural Gas,128644
2022,1,CA,"Combined Heat and Power, Commercial Power",Other,-13
2022,1,CA,"Combined Heat and Power, Commercial Power",Petroleum,36
2022,1,CA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,11831
2022,1,CA,"Combined Heat and Power, Commercial Power",Other Biomass,62388
2022,1,CA,"Combined Heat and Power, Commercial Power",Wind,679
2022,1,CA,"Combined Heat and Power, Electric Power",Total,996663
2022,1,CA,"Combined Heat and Power, Electric Power",Coal,0
2022,1,CA,"Combined Heat and Power, Electric Power",Natural Gas,903532
2022,1,CA,"Combined Heat and Power, Electric Power",Other,8441
2022,1,CA,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,CA,"Combined Heat and Power, Electric Power",Solar Thermal and Photovoltaic,436
2022,1,CA,"Combined Heat and Power, Electric Power",Other Biomass,14420
2022,1,CA,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,69833
2022,1,CA,"Electric Generators, Independent Power Producers",Total,7392967
2022,1,CA,"Electric Generators, Independent Power Producers",Geothermal,978538
2022,1,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,52290
2022,1,CA,"Electric Generators, Independent Power Producers",Natural Gas,2936302
2022,1,CA,"Electric Generators, Independent Power Producers",Other,-3610
2022,1,CA,"Electric Generators, Independent Power Producers",Petroleum,1162
2022,1,CA,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,2021748
2022,1,CA,"Electric Generators, Independent Power Producers",Other Biomass,135905
2022,1,CA,"Electric Generators, Independent Power Producers",Wind,1150986
2022,1,CA,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,119644
2022,1,CA,"Electric Generators, Electric Utilities",Total,5000811
2022,1,CA,"Electric Generators, Electric Utilities",Geothermal,69905
2022,1,CA,"Electric Generators, Electric Utilities",Pumped Storage,-64301
2022,1,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,947160
2022,1,CA,"Electric Generators, Electric Utilities",Natural Gas,2326506
2022,1,CA,"Electric Generators, Electric Utilities",Nuclear,1656360
2022,1,CA,"Electric Generators, Electric Utilities",Other Gases,0
2022,1,CA,"Electric Generators, Electric Utilities",Other,-1156
2022,1,CA,"Electric Generators, Electric Utilities",Petroleum,2665
2022,1,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,27918
2022,1,CA,"Electric Generators, Electric Utilities",Other Biomass,900
2022,1,CA,"Electric Generators, Electric Utilities",Wind,34854
2022,1,CO,Total Electric Power Industry,Total,4885987
2022,1,CO,Total Electric Power Industry,Coal,1992686
2022,1,CO,Total Electric Power Industry,Pumped Storage,-8575
2022,1,CO,Total Electric Power Industry,Hydroelectric Conventional,175746
2022,1,CO,Total Electric Power Industry,Natural Gas,1151545
2022,1,CO,Total Electric Power Industry,Other Gases,1932
2022,1,CO,Total Electric Power Industry,Other,3987
2022,1,CO,Total Electric Power Industry,Petroleum,1592
2022,1,CO,Total Electric Power Industry,Solar Thermal and Photovoltaic,135590
2022,1,CO,Total Electric Power Industry,Other Biomass,6976
2022,1,CO,Total Electric Power Industry,Wind,1416284
2022,1,CO,Total Electric Power Industry,Wood and Wood Derived Fuels,8223
2022,1,CO,"Combined Heat and Power, Industrial Power",Total,18527
2022,1,CO,"Combined Heat and Power, Industrial Power",Coal,0
2022,1,CO,"Combined Heat and Power, Industrial Power",Natural Gas,12373
2022,1,CO,"Combined Heat and Power, Industrial Power",Other Gases,1932
2022,1,CO,"Combined Heat and Power, Industrial Power",Other,4046
2022,1,CO,"Combined Heat and Power, Industrial Power",Petroleum,2
2022,1,CO,"Combined Heat and Power, Industrial Power",Wind,173
2022,1,CO,"Combined Heat and Power, Commercial Power",Total,1807
2022,1,CO,"Combined Heat and Power, Commercial Power",Hydroelectric Conventional,426
2022,1,CO,"Combined Heat and Power, Commercial Power",Natural Gas,193
2022,1,CO,"Combined Heat and Power, Commercial Power",Other,0
2022,1,CO,"Combined Heat and Power, Commercial Power",Petroleum,0
2022,1,CO,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,1188
2022,1,CO,"Combined Heat and Power, Electric Power",Total,3553
2022,1,CO,"Combined Heat and Power, Electric Power",Natural Gas,164
2022,1,CO,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,CO,"Combined Heat and Power, Electric Power",Other Biomass,3389
2022,1,CO,"Electric Generators, Independent Power Producers",Total,1328550
2022,1,CO,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,27800
2022,1,CO,"Electric Generators, Independent Power Producers",Natural Gas,131005
2022,1,CO,"Electric Generators, Independent Power Producers",Other,0
2022,1,CO,"Electric Generators, Independent Power Producers",Petroleum,0
2022,1,CO,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,133882
2022,1,CO,"Electric Generators, Independent Power Producers",Other Biomass,3587
2022,1,CO,"Electric Generators, Independent Power Producers",Wind,1024054
2022,1,CO,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,8223
2022,1,CO,"Electric Generators, Electric Utilities",Total,3533550
2022,1,CO,"Electric Generators, Electric Utilities",Coal,1992686
2022,1,CO,"Electric Generators, Electric Utilities",Pumped Storage,-8575
2022,1,CO,"Electric Generators, Electric Utilities",Hydroelectric Conventional,147520
2022,1,CO,"Electric Generators, Electric Utilities",Natural Gas,1007810
2022,1,CO,"Electric Generators, Electric Utilities",Other,-59
2022,1,CO,"Electric Generators, Electric Utilities",Petroleum,1590
2022,1,CO,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,520
2022,1,CO,"Electric Generators, Electric Utilities",Wind,392058
2022,1,CT,Total Electric Power Industry,Total,3619071
2022,1,CT,Total Electric Power Industry,Coal,0
2022,1,CT,Total Electric Power Industry,Pumped Storage,7567
2022,1,CT,Total Electric Power Industry,Hydroelectric Conventional,26996
2022,1,CT,Total Electric Power Industry,Natural Gas,1979871
2022,1,CT,Total Electric Power Industry,Nuclear,1423440
2022,1,CT,Total Electric Power Industry,Other,45254
2022,1,CT,Total Electric Power Industry,Petroleum,54190
2022,1,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,21239
2022,1,CT,Total Electric Power Industry,Other Biomass,37537
2022,1,CT,Total Electric Power Industry,Wind,1322
2022,1,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,21654
2022,1,CT,"Combined Heat and Power, Industrial Power",Total,49144
2022,1,CT,"Combined Heat and Power, Industrial Power",Natural Gas,48276
2022,1,CT,"Combined Heat and Power, Industrial Power",Petroleum,860
2022,1,CT,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,8
2022,1,CT,"Combined Heat and Power, Commercial Power",Total,27950
2022,1,CT,"Combined Heat and Power, Commercial Power",Natural Gas,24322
2022,1,CT,"Combined Heat and Power, Commercial Power",Petroleum,3331
2022,1,CT,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,297
2022,1,CT,"Combined Heat and Power, Electric Power",Total,11689
2022,1,CT,"Combined Heat and Power, Electric Power",Natural Gas,11627
2022,1,CT,"Combined Heat and Power, Electric Power",Petroleum,62
2022,1,CT,"Electric Generators, Independent Power Producers",Total,3523620
2022,1,CT,"Electric Generators, Independent Power Producers",Coal,0
2022,1,CT,"Electric Generators, Independent Power Producers",Pumped Storage,7567
2022,1,CT,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,24213
2022,1,CT,"Electric Generators, Independent Power Producers",Natural Gas,1892472
2022,1,CT,"Electric Generators, Independent Power Producers",Nuclear,1423440
2022,1,CT,"Electric Generators, Independent Power Producers",Other,45254
2022,1,CT,"Electric Generators, Independent Power Producers",Petroleum,49252
2022,1,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,20908
2022,1,CT,"Electric Generators, Independent Power Producers",Other Biomass,37537
2022,1,CT,"Electric Generators, Independent Power Producers",Wind,1322
2022,1,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,21654
2022,1,CT,"Electric Generators, Electric Utilities",Total,6668
2022,1,CT,"Electric Generators, Electric Utilities",Hydroelectric Conventional,2783
2022,1,CT,"Electric Generators, Electric Utilities",Natural Gas,3174
2022,1,CT,"Electric Generators, Electric Utilities",Petroleum,685
2022,1,CT,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,26
2022,1,CT,"Electric Generators, Electric Utilities",Other Biomass,0
2022,1,DC,Total Electric Power Industry,Total,14397
2022,1,DC,Total Electric Power Industry,Natural Gas,7383
2022,1,DC,Total Electric Power Industry,Petroleum,25
2022,1,DC,Total Electric Power Industry,Solar Thermal and Photovoltaic,1814
2022,1,DC,Total Electric Power Industry,Other Biomass,5176
2022,1,DC,"Combined Heat and Power, Commercial Power",Total,12584
2022,1,DC,"Combined Heat and Power, Commercial Power",Natural Gas,7383
2022,1,DC,"Combined Heat and Power, Commercial Power",Petroleum,25
2022,1,DC,"Combined Heat and Power, Commercial Power",Other Biomass,5176
2022,1,DC,"Electric Generators, Independent Power Producers",Total,1814
2022,1,DC,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,1814
2022,1,DE,Total Electric Power Industry,Total,300296
2022,1,DE,Total Electric Power Industry,Coal,66640
2022,1,DE,Total Electric Power Industry,Natural Gas,195641
2022,1,DE,Total Electric Power Industry,Other Gases,12126
2022,1,DE,Total Electric Power Industry,Petroleum,16196
2022,1,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,3101
2022,1,DE,Total Electric Power Industry,Other Biomass,5932
2022,1,DE,Total Electric Power Industry,Wind,660
2022,1,DE,"Combined Heat and Power, Industrial Power",Total,66296
2022,1,DE,"Combined Heat and Power, Industrial Power",Natural Gas,53057
2022,1,DE,"Combined Heat and Power, Industrial Power",Other Gases,12126
2022,1,DE,"Combined Heat and Power, Industrial Power",Petroleum,0
2022,1,DE,"Combined Heat and Power, Industrial Power",Other Biomass,1113
2022,1,DE,"Combined Heat and Power, Commercial Power",Total,718
2022,1,DE,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,58
2022,1,DE,"Combined Heat and Power, Commercial Power",Wind,660
2022,1,DE,"Combined Heat and Power, Electric Power",Total,2494
2022,1,DE,"Combined Heat and Power, Electric Power",Coal,0
2022,1,DE,"Combined Heat and Power, Electric Power",Natural Gas,2409
2022,1,DE,"Combined Heat and Power, Electric Power",Petroleum,85
2022,1,DE,"Electric Generators, Independent Power Producers",Total,227423
2022,1,DE,"Electric Generators, Independent Power Producers",Coal,66640
2022,1,DE,"Electric Generators, Independent Power Producers",Natural Gas,139506
2022,1,DE,"Electric Generators, Independent Power Producers",Petroleum,13777
2022,1,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,2681
2022,1,DE,"Electric Generators, Independent Power Producers",Other Biomass,4819
2022,1,DE,"Electric Generators, Electric Utilities",Total,3365
2022,1,DE,"Electric Generators, Electric Utilities",Natural Gas,670
2022,1,DE,"Electric Generators, Electric Utilities",Petroleum,2334
2022,1,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,362
2022,1,FL,Total Electric Power Industry,Total,19565926
2022,1,FL,Total Electric Power Industry,Coal,1136239
2022,1,FL,Total Electric Power Industry,Hydroelectric Conventional,19125
2022,1,FL,Total Electric Power Industry,Natural Gas,14564623
2022,1,FL,Total Electric Power Industry,Nuclear,2437238
2022,1,FL,Total Electric Power Industry,Other Gases,12
2022,1,FL,Total Electric Power Industry,Other,233510
2022,1,FL,Total Electric Power Industry,Petroleum,126517
2022,1,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,745024
2022,1,FL,Total Electric Power Industry,Other Biomass,179311
2022,1,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,124327
2022,1,FL,"Combined Heat and Power, Industrial Power",Total,395299
2022,1,FL,"Combined Heat and Power, Industrial Power",Coal,3627
2022,1,FL,"Combined Heat and Power, Industrial Power",Natural Gas,149048
2022,1,FL,"Combined Heat and Power, Industrial Power",Other Gases,12
2022,1,FL,"Combined Heat and Power, Industrial Power",Other,94953
2022,1,FL,"Combined Heat and Power, Industrial Power",Petroleum,1923
2022,1,FL,"Combined Heat and Power, Industrial Power",Solar Thermal and Photovoltaic,194
2022,1,FL,"Combined Heat and Power, Industrial Power",Other Biomass,27273
2022,1,FL,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,118268
2022,1,FL,"Combined Heat and Power, Commercial Power",Total,36589
2022,1,FL,"Combined Heat and Power, Commercial Power",Natural Gas,7233
2022,1,FL,"Combined Heat and Power, Commercial Power",Other,15263
2022,1,FL,"Combined Heat and Power, Commercial Power",Petroleum,0
2022,1,FL,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,522
2022,1,FL,"Combined Heat and Power, Commercial Power",Other Biomass,13572
2022,1,FL,"Combined Heat and Power, Electric Power",Total,152521
2022,1,FL,"Combined Heat and Power, Electric Power",Natural Gas,149104
2022,1,FL,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,FL,"Combined Heat and Power, Electric Power",Other Biomass,3417
2022,1,FL,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,0
2022,1,FL,"Electric Generators, Independent Power Producers",Total,854223
2022,1,FL,"Electric Generators, Independent Power Producers",Natural Gas,529204
2022,1,FL,"Electric Generators, Independent Power Producers",Other,124547
2022,1,FL,"Electric Generators, Independent Power Producers",Petroleum,5926
2022,1,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,63752
2022,1,FL,"Electric Generators, Independent Power Producers",Other Biomass,130795
2022,1,FL,"Electric Generators, Electric Utilities",Total,18127294
2022,1,FL,"Electric Generators, Electric Utilities",Coal,1132612
2022,1,FL,"Electric Generators, Electric Utilities",Hydroelectric Conventional,19125
2022,1,FL,"Electric Generators, Electric Utilities",Natural Gas,13730034
2022,1,FL,"Electric Generators, Electric Utilities",Nuclear,2437238
2022,1,FL,"Electric Generators, Electric Utilities",Other,-1253
2022,1,FL,"Electric Generators, Electric Utilities",Petroleum,118668
2022,1,FL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,680557
2022,1,FL,"Electric Generators, Electric Utilities",Other Biomass,4254
2022,1,FL,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,6059
2022,1,GA,Total Electric Power Industry,Total,11457455
2022,1,GA,Total Electric Power Industry,Coal,2130136
2022,1,GA,Total Electric Power Industry,Pumped Storage,-43170
2022,1,GA,Total Electric Power Industry,Hydroelectric Conventional,380443
2022,1,GA,Total Electric Power Industry,Natural Gas,5064991
2022,1,GA,Total Electric Power Industry,Nuclear,2995627
2022,1,GA,Total Electric Power Industry,Other,5915
2022,1,GA,Total Electric Power Industry,Petroleum,40485
2022,1,GA,Total Electric Power Industry,Solar Thermal and Photovoltaic,416217
2022,1,GA,Total Electric Power Industry,Other Biomass,26742
2022,1,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,440068
2022,1,GA,"Combined Heat and Power, Industrial Power",Total,444065
2022,1,GA,"Combined Heat and Power, Industrial Power",Coal,23699
2022,1,GA,"Combined Heat and Power, Industrial Power",Hydroelectric Conventional,2079
2022,1,GA,"Combined Heat and Power, Industrial Power",Natural Gas,69414
2022,1,GA,"Combined Heat and Power, Industrial Power",Other,6050
2022,1,GA,"Combined Heat and Power, Industrial Power",Petroleum,24784
2022,1,GA,"Combined Heat and Power, Industrial Power",Other Biomass,3308
2022,1,GA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,314729
2022,1,GA,"Combined Heat and Power, Commercial Power",Total,310
2022,1,GA,"Combined Heat and Power, Commercial Power",Natural Gas,0
2022,1,GA,"Combined Heat and Power, Commercial Power",Petroleum,84
2022,1,GA,"Combined Heat and Power, Commercial Power",Solar Thermal and Photovoltaic,225
2022,1,GA,"Combined Heat and Power, Electric Power",Total,33140
2022,1,GA,"Combined Heat and Power, Electric Power",Natural Gas,7124
2022,1,GA,"Combined Heat and Power, Electric Power",Petroleum,0
2022,1,GA,"Combined Heat and Power, Electric Power",Other Biomass,212
